node,x,y
FRN051A,937.29,685.2
FRN051B,991.63,678.0
FRN055B,1288.8,842.36
FRN059A,851.42,743.38
FRN059B,900.81,704.28
FRN060A,892.22,879.28
FRN060B,1049.3,805.29
FRN061A,1387.7,932.78
FRN061B,692.38,557.83
FRN062A,745.06,546.28
FRN062B,577.31,1565.6
FRN062C,640.43,1612.3
FRN062D,635.03,1470.7
FRN063A,758.95,1247.5
FRN063B,744.84,1188.9
FRN063C,834.11,1361.9
FRN063D,583.61,1407.1
FRN063E,567.43,1348.8
FRN067A,1213.0,111.68
FRN067B,1086.8,49.06
FRN067C,1166.9,18.0
FRN067D,1363.2,117.49
FRN067E,1234.3,340.57
FRN067F,1322.6,334.49
FRN067G,1617.5,379.61
FRN067H,1568.6,357.85
FRN067I,1239.1,553.88
FRN067J,1306.8,98.032
FRN067K,1152.3,340.8
FRN067L,1297.7,644.74
FRN071A,1445.9,1195.2
FRN071B,1321.3,1203.9
FRN071C,1418.8,1119.5
FRN071D,1176.4,1176.1
FRN077A,1189.0,1795.8
FRN077B,1326.3,1751.3
FRN077C,1268.5,1777.9
FRN077D,1125.8,1782.7
FRN087A,954.42,1575.0
FRN087B,926.5,1529.5
FRN087C,1045.8,1642.7
FRN087D,979.88,1745.8
FRN087E,916.7,1709.7
FRN088A,1515.1,1572.3
FRN088B,1441.8,1489.0
FRN088C,1371.7,1402.2
FRN089A,1479.7,1413.8
FRN089B,1614.8,1420.0
FRN089C,1580.5,1474.6
FRN089D,1424.0,1290.5
FRN090A,88.856,699.66
FRN090B,450.58,1127.6
FRN090C,419.09,1079.0
FRN090D,500.26,991.95
FRN091,924.18,1144.1
FRN092A,648.11,589.73
FRN092B,610.27,634.87
FRN093A,46.959,764.19
FRN093B,216.66,947.08
FRN093C,798.48,1001.9
FRN094A,367.53,681.13
FRN094B,330.0,725.47
FRN094C,678.97,878.69
FRN097A,1470.8,685.87
FRN097B,2258.0,682.55
FRN097C,2020.4,1061.6
FRN097D,1863.1,711.84
FRN097E,1966.1,487.16
FRN097F,1418.5,334.14
FRN097G,2279.2,535.98
FRN097H,2094.5,1207.8
FRN097I,2152.8,1102.1
FRN097J,2000.2,541.19
FRN097K,1361.0,354.44
FRN097L,2329.4,601.14
FRN097M,2126.6,1160.7
FRN097N,2171.4,1041.5
FRN097O,1865.9,423.55
FRN098A,1477.3,322.52
FRN098B,2303.0,793.8
FRN098C,2166.2,737.54
FRN098D,1995.5,1252.0
FRN098E,1918.2,443.71
FRN098F,1528.9,339.54
FRN098G,2315.5,859.57
FRN098H,2282.7,989.05
FRN098I,2307.7,933.72
FRN098J,2046.4,1233.4
FRN099A,1113.0,1387.3
FRN099B,1071.0,1346.2
FRN099C,1276.8,990.03
FRN099D,1004.6,1072.9
FRN099E,818.21,1049.8
FRN099F,458.8,729.82
FRN099G,494.27,695.58
FRN100A,27.0,899.13
FRN100B,51.716,974.31
FRN100C,313.67,949.71
FRN103,1982.2,819.85
FRN104A,1647.4,427.08
FRN104B,1674.3,478.2
FRN105A,1789.3,947.62
FRN105B,1618.1,908.08
FRN106A,1110.2,1643.2
FRN106B,1185.4,1649.2
FRN106C,1524.7,830.07
FRN106D,1731.9,656.01
FRN106E,1784.8,678.33
FRN107A,1444.3,1716.4
FRN107B,1497.5,1805.4
FRN107C,1652.5,1830.1
FRN107D,1576.4,1879.0
112,1140.6,106.04
113,2240.8,607.44
114,2088.6,1033.4
115,981.71,1654.9
116,2039.3,1133.5
117,1180.2,1708.1
118,1369.6,1160.2
119,1276.1,1685.7
120,1004.2,1502.3
121,2230.4,837.99
122,2219.9,926.8
123,1182.8,184.02
124,1292.8,1149.5
125,1300.4,183.09
126,1974.0,1172.4
127,1584.5,1790.2
128,1601.9,512.42
129,1281.7,407.42
130,2151.3,867.99
131,1476.7,419.28
132,1226.8,1614.1
133,2177.7,672.71
134,1042.5,1569.9
135,1923.0,567.95
136,2109.3,747.08
137,1553.8,452.04
138,1733.4,731.0
139,1397.1,429.16
140,1956.5,1089.8
141,1237.2,255.07
142,1529.8,1724.3
143,1435.9,502.2
144,1234.0,1141.5
145,1081.1,1485.8
146,1999.5,1003.8
147,1538.8,1393.1
148,1857.1,511.86
149,2068.5,831.12
150,1528.2,540.72
151,1139.5,1331.9
152,1926.8,1001.7
153,1223.1,365.27
154,1475.8,1649.1
155,1457.9,584.54
156,1260.0,464.6
157,1974.2,872.63
158,1434.9,1564.0
159,1162.3,1573.3
160,1846.7,604.02
161,1299.5,560.82
162,652.42,1355.7
163,104.96,907.84
164,1454.8,1351.9
165,1422.5,666.72
166,1891.4,918.76
167,662.57,1533.0
168,1377.7,1479.0
169,1339.6,659.48
170,1196.8,1518.7
171,707.87,1449.8
172,1803.5,700.87
173,1368.7,1314.9
174,1385.6,734.48
175,1330.7,882.99
176,1322.7,1390.2
177,1796.0,891.74
178,1745.4,782.43
179,822.89,1207.7
180,1707.1,852.57
181,739.08,1361.5
182,125.32,776.03
183,822.02,1299.7
184,1606.2,853.1
185,1159.7,1438.0
186,391.73,772.78
187,1293.7,1306.9
188,500.37,1059.3
189,916.85,791.94
190,986.86,760.04
191,1500.6,856.48
192,1190.0,1339.9
193,1405.4,829.81
194,511.57,785.54
195,1221.6,1254.8
196,889.91,1226.6
197,1329.4,912.76
198,173.16,849.47
199,745.12,633.48
200,1241.6,971.16
201,256.66,874.57
202,561.28,990.02
203,1194.3,1146.0
204,680.04,677.13
205,954.94,871.34
206,1173.8,1047.3
207,345.68,881.6
208,430.23,854.09
209,967.95,1163.9
210,863.54,994.37
211,1012.1,848.93
212,523.41,864.36
213,1002.0,919.31
214,1035.0,1098.1
215,602.42,917.98
216,1078.0,1029.7
217,701.2,924.88
218,994.89,980.76
219,895.88,949.94
220,744.66,725.96
221,796.27,903.54
222,775.3,816.5
